AMR
"(d / dismiss-01
      :snt1 (s / say-01
            :ARG0 (p / person
                  :ARG0-of (h / have-rel-role-91
                        :ARG1 (ii / i)
                        :ARG2 (s2 / sister)))
            :ARG1 (h2 / have-03
                  :ARG0 (a / and
                        :op1 (c / company
                              :name (n / name
                                    :op1 ""Walmart""))
                        :op2 (c2 / company
                              :name (n2 / name
                                    :op1 ""Sam's""
                                    :op2 ""Club"")))
                  :ARG1 (l / line
                        :ARG1-of (l2 / long-03))
                  :time (a2 / already)
                  :time (d / date-entity
                        :time ""6:30"")
                  :purpose (w / wait-01
                        :ARG1 a
                        :ARG2 (g / get-05
                              :ARG1 a
                              :ARG2 (ii2 / inside)))))
      :snt2 (o / open-01
            :ARG1 (s3 / store
                  :name (n3 / name
                        :op1 ""Sam's""
                        :op2 ""Club""))
            :time (d2 / date-entity
                  :time ""9:00"")))"
"(r / recommend-01
      :ARG0 (g / government-organization
            :name (n / name
                  :op1 ""Department""
                  :op2 ""of""
                  :op3 ""Defense""))
      :ARG1 (a / and
            :op1 (s / supply-01
                  :ARG1-of (w / worth-01
                        :ARG2 (t / temporal-quantity
                              :quant 2
                              :unit (w2 / week))))
            :op2 (p / prescribe-02
                  :ARG1 (m / medicine)
                  :ARG2 (t2 / temporal-quantity
                        :quant 30
                        :unit (d / day))))
      :time (t3 / time))"
"(s / surge-01
      :frequency 3
      :ARG1 (m / monetary-quantity
            :ARG2-of (p / price-01
                  :ARG1 (f / food))
            :location (c / country
                  :name (n / name
                        :op1 ""India"")))
      :ARG1-of (c2 / cause-01
            :ARG0 (t / take-02
                  :ARG0 (c3 / chain
                        :mod (s2 / supply-01))
                  :ARG1 (h / hit-01
                        :ARG1 c3))))"
(a / amr-empty)
"(m / multi-sentence
      :snt1 (m2 / make-02
            :ARG0 (p / product
                  :name (n / name
                        :op1 ""Covid""
                        :op2 19))
            :ARG1 (h / hard-02
                  :ARG1 (a / afford-01
                        :ARG0 (ii / i)
                        :ARG1 (f / food)
                        :time (n2 / now
                              :mod (r / right)))))
      :snt2 (a2 / and
            :op1 (p2 / possible-01
                  :polarity -
                  :ARG1 (e / eat-01
                        :ARG0 (ii2 / i)
                        :manner (c / cheap-02
                              :ARG2-of (h2 / have-degree-91
                                    :ARG1 e
                                    :ARG3 (e2 / equal)
                                    :ARG4 (e3 / eat-01
                                          :ARG0 ii2
                                          :manner (u / usual)))))
                  :ARG1-of (c2 / cause-01
                        :ARG0 (b / buy-01
                              :manner (p3 / panic-01)
                              :mod (a3 / all))))
            :op2 (o / obligate-01
                  :ARG1 ii2
                  :ARG2 (b2 / buy-01
                        :ARG0 ii2
                        :ARG1 (f2 / food
                              :ARG1-of (h3 / have-degree-91
                                    :ARG2 (e4 / expensive)
                                    :ARG3 (m3 / more))))))
      :snt3 (h4 / have-condition-91
            :polite +
            :ARG1 (d / DM-01
                  :mode imperative
                  :ARG0 (y / you)
                  :ARG2 (ii3 / i))
            :ARG2 (ii4 / interest-01
                  :ARG1 y))
      :snt4 (a4 / available-02
            :ARG2 (d2 / discount-01
                  :ARG1 (o2 / order-01
                        :prep-with (a5 / art
                              :quant (m4 / multiple))))))"
"(d / discuss-01
      :ARG0 (p / person
            :name (n / name
                  :op1 ""Dr.""
                  :op2 ""Kurt""
                  :op3 ""Jetta"")
            :ARG0-of (f / found-01
                  :ARG1 (c / company
                        :name (n2 / name
                              :op1 ""TABS""
                              :op2 ""Analytics""))))
      :ARG1 (a / and
            :op1 (a2 / affect-01
                  :ARG0 (l / law
                        :name (n3 / name
                              :op1 ""COVID-19""))
                  :ARG1 (ii / issue-02
                        :ARG0 (c2 / chain
                              :mod (s / supply-01))))
            :op2 (ii2 / increase-01
                  :ARG1 (d2 / demand-01
                        :ARG1 (g / good
                              :mod (c3 / company
                                    :name (n4 / name
                                          :op1 ""CPG"")))
                        :location (r / retail-01)))))"
"(s / say-01
