AMR
"(m / multi-sentence
            :ARG1 (t2 / this)))"
"(m / multi-sentence
      :snt1 (n / need-01
            :ARG0 (ii / i)
            :ARG1 (s / stock-up-02
                  :ARG0 ii
                  :ARG1 (f / fridge))
            :ARG1-of (c / cause-01
                  :ARG0 (m2 / make-02
                        :ARG0 (p / product
                              :name (n2 / name
                                    :op1 ""Covid-19"")
                              :mod (t / this))
                        :ARG1 (p2 / panicky
                              :domain ii))))
      :snt2 (s2 / supermarket
            :name (n3 / name
                  :op1 ""Robinsons""
                  :op2 ""Supermarket"")
            :location (c2 / city
                  :name (n4 / name
                        :op1 ""Bacolod"")
                  :part-of (p3 / province
                        :name (n5 / name
                              :op1 ""Negros""
                              :op2 ""Occidental""))))
      :medium (u / url-entity
            :value ""https://t.co/1Fxt4v7q6N""))"
"(m / multi-sentence
      :snt1 (g / go-01
            :ARG1 (ii / it)
            :ARG3 (s / season
                  :mod (c / cuff-01))
            :ARG4 (s2 / season
                  :mod (c2 / cough-01))
            :ARG1-of (q / quick-02
                  :degree (v / very)))
      :snt2 (t / try-01
            :polarity -
            :ARG0 (n / nobody)
            :ARG1 (c3 / cuddle-01
                  :ARG0 n)
            :time (n2 / now))
      :snt3 (a / and
            :op1 (d / delete-01
                  :ARG0 (g2 / girl)
                  :ARG1 (p / pic
                        :poss g2
                        :location (c4 / city
                              :name (n3 / name
                                    :op1 ""Miami""))))
            :op2 (p2 / post-01
                  :ARG0 g2
                  :ARG1 (p3 / photo
                        :topic (s3 / store
                              :mod (g3 / grocery))
                        :example a
                        :op1 (s4 / string-entity
                              :value ""TakeMeBack"")
                        :op2 (s5 / string-entity
                              :value ""coronavirus"")))))"
"(m / multi-sentence
      :snt1 (k / know-01
            :polarity -
            :ARG0 (ii / i)
            :ARG1 (t / thing
                  :ARG0-of (f / frustrate-01
                        :ARG2-of (h / have-degree-91
                              :ARG1 t
                              :ARG3 (m2 / more)))))
      :snt2 (o / or
            :op1 (w / work-01
                  :ARG0 (ii2 / i)
                  :ARG2 (s / store
                        :mod (g / grocery))
                  :time (e / event
                        :name (n / name
                              :op1 ""Covid_19"")))
            :op2 (l / listen-01
                  :ARG0 ii2
                  :ARG1 (t2 / talk-01
                        :ARG0 (p / person
                              :ARG0-of w
                              :ARG2 ii2)
                        :ARG1-of (c / coworker-01
                              :ARG2 ii2))
                  :ARG1 (t3 / thing
                        :name n
                        :op1 ""COVID-19""))))"
"(m / multi-sentence
      :snt1 (b / be-located-at-91
            :ARG1 (ii / i)
            :ARG2 (q / queue-01
                  :ARG1 ii
                  :ARG2 (s / shop-01
                        :ARG0 ii
                        :ARG3 (f / family
                              :ARG1-of (h / have-org-role-91
                                    :ARG0 ii
                                    :ARG2 (m2 / member)))
                        :frequency (r / rate-entity-91
                              :ARG3 (t / temporal-quantity
                                    :quant 1
                                    :unit (w / week))))
                  :mod (s2 / supermarket
                        :mod (m3 / mega))))
      :snt2 (c / contrast-01
            :ARG1 (p / possible-01
                  :ARG1 (s3 / skip-01
                        :ARG0 (ii2 / i)
                        :ARG1 (q2 / queue-01)
                        :ARG1-of (c2 / cause-01
                              :ARG0 (p2 / person
                                    :ARG0-of (w2 / work-01
                                          :ARG2 (k / key))))))
            :ARG2 (a / and
                  :op1 (n / need-01
                        :polarity -
                        :ARG0 ii2
                        :ARG1 (s4 / skip-01
                              :ARG0 ii2
                              :ARG1 q2)
                        :ARG0-of (c3 / cause-01
                              :ARG1 s4))
                  :op2 (h2 / have-purpose-91
                        :ARG1 b
                        :ARG1 (p3 / person
                              :ARG0-of w2
                              :ARG2 (s5 / shift))
                        :poss ii2)
                  :ARG2 q2)
            :ARG2 s4)
      :snt3 (u / url-entity
            :value ""StayHomeSaveLives""
            :snt4-of m)
      :value ""https://t.co/x4nldqbdLk"")"
"(m / multi-sentence
      :snt1 (p / person
            :ARG0-of (s / study-01
                  :mod (f / full-time)
                  :duration (m2 / most
                        :ARG3-of (ii / include-91
                              :ARG2 (d / date-entity
                                    :year 2018))))
            :domain (ii2 / i))
      :snt2 (t / take-01
            :ARG0 (ii3 / i)
            :ARG1 (j / job
                  :mod (r / retail-01))
            :time (f2 / final)
            :time (a / after
                  :op1 (f3 / find-01
                        :polarity -
                        :ARG0 ii3
                        :ARG1 (e / employ-01
                              :ARG1 ii3
                              :ARG2 (ii4 / industry
